     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
   19263   2013-11-15  09:20:51        00:00    0.0    0.0      1040      8944
   19263   2013-11-15  09:20:52        00:01    103    0.0      2952      9512
   19263   2013-11-15  09:20:53        00:02    102    0.0      2952      9512
   19263   2013-11-15  09:20:54        00:03    102    0.0      2952      9512
   19263   2013-11-15  09:20:55        00:04    102    0.0      3480      9720
   19263   2013-11-15  09:20:56        00:05    102    0.0      3480      9720
   19263   2013-11-15  09:20:57        00:06    102    0.0      3480      9720
   19263   2013-11-15  09:20:58        00:07    102    0.0      3480      9720
   19263   2013-11-15  09:20:59        00:08    102    0.0      3480      9720
   19263   2013-11-15  09:21:00        00:09    102    0.0      3480      9720
   19263   2013-11-15  09:21:01        00:10    102    0.0      3480      9720
   19263   2013-11-15  09:21:02        00:11    102    0.0      3480      9720
   19263   2013-11-15  09:21:03        00:12    102    0.0      3744      9720
   19263   2013-11-15  09:21:04        00:13    102    0.0      3744      9720
   19263   2013-11-15  09:21:05        00:14    102    0.0      3768      9720
   19263   2013-11-15  09:21:06        00:16   95.7    0.0      3768      9720
   19263   2013-11-15  09:21:07        00:17   96.1    0.0      3768      9720
   19263   2013-11-15  09:21:08        00:18   96.4    0.0      3768      9720
   19263   2013-11-15  09:21:09        00:19   96.7    0.0      3768      9720
   19263   2013-11-15  09:21:10        00:20   97.0    0.0      3768      9720
   19263   2013-11-15  09:21:11        00:21   97.2    0.0      3768      9720
   19263   2013-11-15  09:21:12        00:22   97.4    0.0      3768      9720
   19263   2013-11-15  09:21:13        00:23   97.6    0.0      3768      9720
   19263   2013-11-15  09:21:14        00:24   97.8    0.0      3768      9720
   19263   2013-11-15  09:21:15        00:25   98.0    0.0      3768      9720
   19263   2013-11-15  09:21:16        00:26   98.1    0.0      3768      9720
   19263   2013-11-15  09:21:17        00:27   98.3    0.0      3768      9720
   19263   2013-11-15  09:21:18        00:28   98.4    0.0      3768      9720
   19263   2013-11-15  09:21:19        00:29   98.5    0.0      3768      9720
   19263   2013-11-15  09:21:21        00:30   98.7    0.0      3768      9720
   19263   2013-11-15  09:21:22        00:31   98.8    0.0      3768      9720
   19263   2013-11-15  09:21:23        00:32   98.0    0.0      3768      9720
   19263   2013-11-15  09:21:24        00:33   98.1    0.0      3768      9720
   19263   2013-11-15  09:21:25        00:34   98.2    0.0      3768      9720
   19263   2013-11-15  09:21:26        00:35   98.4    0.0      3768      9720
   19263   2013-11-15  09:21:27        00:36   98.5    0.0      4028     10116
   19263   2013-11-15  09:21:28        00:37   98.5    0.0      4028     10116
   19263   2013-11-15  09:21:29        00:38   98.6    0.0      4028     10116
   19263   2013-11-15  09:21:30        00:39   98.7    0.0      4028     10116
   19263   2013-11-15  09:21:31        00:40   98.8    0.0      4028     10116
   19263   2013-11-15  09:21:32        00:41   98.9    0.0      4028     10116
   19263   2013-11-15  09:21:33        00:42   99.0    0.0      4028     10116
   19263   2013-11-15  09:21:34        00:43   99.0    0.0      4028     10116
   19263   2013-11-15  09:21:35        00:44   99.1    0.0      4028     10116
   19263   2013-11-15  09:21:36        00:45   99.2    0.0      4028     10116
   19263   2013-11-15  09:21:37        00:46   99.3    0.0      4028     10116
   19263   2013-11-15  09:21:38        00:47   99.3    0.0      4028     10116
   19263   2013-11-15  09:21:39        00:48   99.3    0.0      4028     10116
   19263   2013-11-15  09:21:40        00:49   99.4    0.0      4028     10116
   19263   2013-11-15  09:21:41        00:50   99.5    0.0      4028     10116
   19263   2013-11-15  09:21:42        00:51   99.5    0.0      4028     10116
   19263   2013-11-15  09:21:43        00:52   99.6    0.0      4028     10116
   19263   2013-11-15  09:21:44        00:53   99.6    0.0      4028     10116
   19263   2013-11-15  09:21:45        00:54   99.7    0.0      4028     10116
   19263   2013-11-15  09:21:46        00:55   99.7    0.0      4028     10116
   19263   2013-11-15  09:21:47        00:56   99.8    0.0      4028     10116
   19263   2013-11-15  09:21:48        00:58   98.1    0.0      4028     10116
   19263   2013-11-15  09:21:49        00:59   98.2    0.0      4028     10116
   19263   2013-11-15  09:21:50        01:00   98.2    0.0      4028     10116
   19263   2013-11-15  09:21:51        01:01   98.3    0.0      4028     10116
   19263   2013-11-15  09:21:52        01:02   98.4    0.0      4028     10116
   19263   2013-11-15  09:21:53        01:03   98.4    0.0      4028     10116
   19263   2013-11-15  09:21:54        01:04   98.5    0.0      4028     10116
   19263   2013-11-15  09:21:55        01:05   98.6    0.0      4028     10116
   19263   2013-11-15  09:21:56        01:06   98.6    0.0      4028     10116
   19263   2013-11-15  09:21:57        01:07   98.0    0.0      4028     10116
   19263   2013-11-15  09:21:58        01:08   98.1    0.0      4028     10116
   19263   2013-11-15  09:21:59        01:09   98.2    0.0      4028     10116
   19263   2013-11-15  09:22:00        01:10   98.2    0.0      4028     10116
   19263   2013-11-15  09:22:02        01:11   98.2    0.0      4028     10116
   19263   2013-11-15  09:22:03        01:12   98.3    0.0      4028     10116
   19263   2013-11-15  09:22:04        01:13   98.4    0.0      4028     10116
