     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
    4960   2013-11-18  14:03:14        00:00    0.0    0.0      1708      9328
    4960   2013-11-18  14:03:15        00:01    103    0.1     29888     37224
    4960   2013-11-18  14:03:16        00:02    102    0.1     29888     37224
    4960   2013-11-18  14:03:17        00:03    102    0.1     29888     37224
    4960   2013-11-18  14:03:18        00:04    102    0.1     29888     37224
    4960   2013-11-18  14:03:19        00:05   90.2    0.1     29888     37224
    4960   2013-11-18  14:03:21        00:06   92.3    0.1     29888     37224
    4960   2013-11-18  14:03:22        00:07   93.7    0.1     29888     37224
    4960   2013-11-18  14:03:23        00:08   94.7    0.1     29888     37224
    4960   2013-11-18  14:03:24        00:09   95.6    0.1     29888     37224
    4960   2013-11-18  14:03:25        00:10   96.3    0.1     29888     37224
    4960   2013-11-18  14:03:26        00:11   96.9    0.1     29888     37224
    4960   2013-11-18  14:03:27        00:12   97.3    0.1     29888     37224
    4960   2013-11-18  14:03:28        00:13   97.6    0.1     29888     37224
    4960   2013-11-18  14:03:29        00:14   97.8    0.1     29888     37224
    4960   2013-11-18  14:03:30        00:15   92.6    0.1     29888     37224
    4960   2013-11-18  14:03:31        00:16   93.2    0.1     29888     37224
    4960   2013-11-18  14:03:32        00:17   93.7    0.1     29888     37224
    4960   2013-11-18  14:03:33        00:18   94.2    0.1     29888     37224
    4960   2013-11-18  14:03:34        00:19   94.6    0.1     29888     37224
    4960   2013-11-18  14:03:35        00:20   95.0    0.1     29888     37224
    4960   2013-11-18  14:03:36        00:21   95.3    0.1     29888     37224
    4960   2013-11-18  14:03:37        00:22   95.6    0.1     29888     37224
    4960   2013-11-18  14:03:38        00:23   95.9    0.1     29888     37224
    4960   2013-11-18  14:03:39        00:24   96.2    0.1     29888     37224
    4960   2013-11-18  14:03:40        00:25   96.4    0.1     29888     37224
    4960   2013-11-18  14:03:41        00:26   96.6    0.1     29888     37224
    4960   2013-11-18  14:03:42        00:27   96.8    0.1     29888     37224
    4960   2013-11-18  14:03:43        00:28   97.0    0.1     29888     37224
    4960   2013-11-18  14:03:44        00:29   97.2    0.1     29888     37224
    4960   2013-11-18  14:03:45        00:30   97.4    0.1     29888     37224
    4960   2013-11-18  14:03:46        00:31   97.5    0.1     29888     37224
    4960   2013-11-18  14:03:47        00:33   94.7    0.1     29888     37224
    4960   2013-11-18  14:03:48        00:34   95.0    0.1     29888     37224
    4960   2013-11-18  14:03:49        00:35   95.2    0.1     29888     37224
    4960   2013-11-18  14:03:50        00:36   94.3    0.1     29888     37224
    4960   2013-11-18  14:03:51        00:37   93.7    0.1     29888     37224
    4960   2013-11-18  14:03:52        00:38   93.9    0.1     29888     37224
    4960   2013-11-18  14:03:53        00:39   94.1    0.1     29888     37224
    4960   2013-11-18  14:03:54        00:40   94.3    0.1     29888     37224
    4960   2013-11-18  14:03:55        00:41   94.5    0.1     29888     37224
    4960   2013-11-18  14:03:56        00:42   94.7    0.1     29888     37224
    4960   2013-11-18  14:03:57        00:43   94.9    0.1     29888     37224
    4960   2013-11-18  14:03:58        00:44   95.0    0.1     29888     37224
    4960   2013-11-18  14:03:59        00:45   95.2    0.1     29888     37224
    4960   2013-11-18  14:04:01        00:46   95.4    0.1     29888     37224
    4960   2013-11-18  14:04:02        00:47   95.5    0.1     29888     37224
    4960   2013-11-18  14:04:03        00:48   95.7    0.1     29888     37224
    4960   2013-11-18  14:04:04        00:49   95.8    0.1     29888     37224
    4960   2013-11-18  14:04:05        00:50   95.9    0.1     29888     37224
    4960   2013-11-18  14:04:06        00:51   96.1    0.1     29888     37224
    4960   2013-11-18  14:04:07        00:52   96.2    0.1     29888     37224
    4960   2013-11-18  14:04:08        00:53   96.3    0.1     29888     37224
    4960   2013-11-18  14:04:09        00:54   96.4    0.1     29888     37224
    4960   2013-11-18  14:04:10        00:55   96.5    0.1     29888     37224
    4960   2013-11-18  14:04:11        00:56   96.6    0.1     29888     37224
    4960   2013-11-18  14:04:12        00:57   96.7    0.1     29888     37224
    4960   2013-11-18  14:04:13        00:58   96.8    0.1     29888     37224
    4960   2013-11-18  14:04:14        00:59   96.9    0.1     29888     37224
    4960   2013-11-18  14:04:15        01:00   97.0    0.1     29888     37224
    4960   2013-11-18  14:04:16        01:01   97.1    0.1     29888     37224
    4960   2013-11-18  14:04:17        01:02   97.2    0.1     29888     37224
    4960   2013-11-18  14:04:18        01:03   97.3    0.1     29888     37224
    4960   2013-11-18  14:04:19        01:04   97.3    0.1     29888     37224
    4960   2013-11-18  14:04:20        01:05   97.4    0.1     29888     37224
    4960   2013-11-18  14:04:21        01:06   97.5    0.1     29888     37224
    4960   2013-11-18  14:04:22        01:07   97.6    0.1     29888     37224
    4960   2013-11-18  14:04:23        01:08   97.7    0.1     29888     37224
    4960   2013-11-18  14:04:24        01:09   97.7    0.1     29888     37224
    4960   2013-11-18  14:04:25        01:11   96.1    0.1     29888     37224
    4960   2013-11-18  14:04:26        01:12   96.2    0.1     29888     37224
    4960   2013-11-18  14:04:27        01:13   96.3    0.1     29888     37224
    4960   2013-11-18  14:04:28        01:14   96.3    0.1     29888     37224
    4960   2013-11-18  14:04:29        01:15   96.4    0.1     29888     37224
    4960   2013-11-18  14:04:30        01:16   96.5    0.1     29888     37224
    4960   2013-11-18  14:04:31        01:17   96.6    0.1     29888     37224
    4960   2013-11-18  14:04:32        01:18   96.7    0.1     29888     37224
    4960   2013-11-18  14:04:33        01:19   96.7    0.1     29888     37224
    4960   2013-11-18  14:04:34        01:20   96.8    0.1     29888     37224
    4960   2013-11-18  14:04:35        01:21   96.9    0.1     29888     37224
    4960   2013-11-18  14:04:36        01:22   96.9    0.1     29888     37224
    4960   2013-11-18  14:04:37        01:23   97.0    0.1     29888     37224
    4960   2013-11-18  14:04:39        01:24   97.1    0.1     29888     37224
    4960   2013-11-18  14:04:40        01:25   97.1    0.1     29888     37224
    4960   2013-11-18  14:04:41        01:26   97.2    0.1     29888     37224
    4960   2013-11-18  14:04:42        01:27   97.2    0.1     29888     37224
    4960   2013-11-18  14:04:43        01:28   97.3    0.1     29888     37224
    4960   2013-11-18  14:04:44        01:29   97.4    0.1     29888     37224
    4960   2013-11-18  14:04:45        01:30   97.4    0.1     29888     37224
    4960   2013-11-18  14:04:46        01:31   97.5    0.1     29888     37224
    4960   2013-11-18  14:04:47        01:32   97.5    0.1     29888     37224
    4960   2013-11-18  14:04:48        01:33   97.6    0.1     29888     37224
